Day,Breakfast,Lunch,Dinner,Calories_Breakfast,Calories_Lunch,Calories_Dinner,Total_Carb_g,Total_Protein_g,Total_Fat_g
1,Vegetable Poha,Chicken Pulao,Palak Paneer + 1 Roti,350,550,600,180,92,48
2,Bread Omelette (2 eggs),Mixed Fried Rice (Egg+Prawn),Mixed Veg + Masoor Dal + 1 Roti,400,600,500,185,90,48
3,Paneer Bhurji Toast,Fish Curry + Rice,Paneer Stir Fry + 1 Roti,380,550,570,175,95,52
4,Oats Upma + Sambar,Paneer Pulao,Chilli Chicken + 1 Roti,350,550,600,170,98,52
5,Moong Dal Chilla + Curd,Kadai Paneer + 1 Roti,Moong Dal + Rice,350,550,600,180,92,48
6,Methi Paratha + Curd,Chicken Curry + Rice,Mixed Veg + 1 Roti,400,550,550,175,92,50
7,Vegetable Omelette + Toast,Chowmein (Egg),Masoor Dal + Rice,380,550,570,185,90,48
8,Idli Sambar,Fish Curry + Rice,Brinjal Roast Mash + 1 Roti,350,550,600,170,94,52
9,Oats Poha,Chicken Pulao,Chana Dal + Rice,350,550,600,185,92,48
10,Paneer Stuffed Sandwich,Paneer Pulao,Egg Bhurji + 1 Roti,380,550,570,175,95,50
11,Dosa + Sambar,Chilli Paneer + 1 Roti,Moong Dal + Rice,400,550,550,180,90,48
12,Besani Chilla + Mint Chutney,Chicken Curry + Rice,Palak Paneer + 1 Roti,350,550,600,170,95,50
13,Vegetable Upma,Fish Curry + Rice,Mixed Veg + 1 Roti,350,550,600,175,92,48
14,Bread Omelette,Chicken Pulao,Masoor Dal + Rice,400,550,550,185,90,48
15,Paneer Bhurji + Toast,Kadai Paneer + 1 Roti,Vegetable Soup + Rice,380,550,570,170,95,48
16,Idli Sambar,Mixed Fried Rice (Egg+Prawn),Mixed Veg + 1 Roti,350,600,550,180,88,50
17,Oats Vegetable Chilla,Chicken Curry + Rice,Moong Dal + 1 Roti,350,550,600,175,92,48
18,Poha + Sprouts,Paneer Pulao,Chilli Chicken + 1 Roti,380,550,570,170,98,52
19,Bread Omelette,Fish Curry + Rice,Palak Paneer + 1 Roti,400,550,550,170,95,50
20,Dosa + Sambar,Chowmein (Veg/Egg) + 1 Roti,Masoor Dal + Rice,400,550,550,185,88,48
21,Vegetable Omelette + Toast,Chicken Pulao,Mixed Veg + 1 Roti,380,550,570,175,92,50
22,Idli Sambar,Kadai Paneer + 1 Roti,Moong Dal + Rice,350,550,600,180,90,48
23,Oats Poha,Fish Curry + Rice,Brinjal Roast Mash + 1 Roti,350,550,600,170,95,52
24,Paneer Sandwich,Paneer Pulao,Chana Dal + Rice,380,550,570,180,90,48
25,Vegetable Upma,Chicken Curry + Rice,Palak Paneer + 1 Roti,350,550,600,170,95,50
26,Bread Omelette,Mixed Fried Rice (Egg+Prawn),Mixed Veg + 1 Roti,400,600,500,185,88,50
27,Besani Chilla + Curd,Kadai Paneer + 1 Roti,Moong Dal + Rice,350,550,600,175,90,48
28,Idli Sambar,Chicken Pulao,Masoor Dal + Rice,350,550,600,185,88,48
29,Oats Vegetable Poha,Fish Curry + Rice,Mixed Veg + 1 Roti,350,550,600,175,92,50
30,Dosa + Sambar,Paneer Pulao,Chilli Chicken + 1 Roti,400,550,550,170,98,52
31,Vegetable Omelette + Toast,Chicken Curry + Rice,Palak Paneer + 1 Roti,380,550,570,180,92,50
